# wl(um)  A_lambda/A_V
  0.1000  4.23000e+00
  0.1023  4.10800e+00
  0.1047  3.97000e+00
  0.1072  3.83200e+00
  0.1096  3.69800e+00
  0.1100  3.68000e+00
  0.1122  3.57800e+00
  0.1148  3.46400e+00
  0.1175  3.35800e+00
  0.1202  3.25800e+00
  0.1215  3.21400e+00
  0.1230  3.16400e+00
  0.1259  3.07200e+00
  0.1288  2.98600e+00
  0.1318  2.90000e+00
  0.1349  2.83000e+00
  0.1380  2.76600e+00
  0.1413  2.71000e+00
  0.1445  2.65600e+00
  0.1479  2.60000e+00
  0.1514  2.55000e+00
  0.1549  2.50400e+00
  0.1585  2.46600e+00
  0.1622  2.43800e+00
  0.1660  2.42000e+00
  0.1698  2.41600e+00
  0.1738  2.42000e+00
  0.1778  2.43600e+00
  0.1820  2.46600e+00
  0.1862  2.51000e+00
  0.1905  2.57400e+00
  0.1950  2.66000e+00
  0.1995  2.76800e+00
  0.2042  2.89400e+00
  0.2089  3.01400e+00
  0.2125  3.08200e+00
  0.2138  3.09800e+00
  0.2150  3.10800e+00
  0.2175  3.11400e+00
  0.2188  3.10600e+00
  0.2200  3.09200e+00
  0.2225  3.05000e+00
  0.2239  3.02000e+00
  0.2291  2.87800e+00
  0.2344  2.72000e+00
  0.2399  2.56800e+00
  0.2455  2.42000e+00
  0.2512  2.32200e+00
  0.2570  2.22800e+00
  0.2630  2.15400e+00
  0.2692  2.08800e+00
  0.2754  2.03000e+00
  0.2818  1.98300e+00
  0.2884  1.94100e+00
  0.2951  1.90400e+00
  0.3020  1.86900e+00
  0.3090  1.83100e+00
  0.3162  1.79200e+00
  0.3236  1.75400e+00
  0.3311  1.71700e+00
  0.3388  1.68000e+00
  0.3467  1.64400e+00
  0.3500  1.62900e+00
  0.3548  1.60800e+00
  0.3550  1.60700e+00
  0.3631  1.57300e+00
  0.3635  1.57100e+00
  0.3715  1.53700e+00
  0.3802  1.50200e+00
  0.3890  1.46800e+00
  0.3981  1.43300e+00
  0.4074  1.39900e+00
  0.4100  1.38900e+00
  0.4169  1.36400e+00
  0.4266  1.33000e+00
  0.4365  1.29600e+00
  0.4405  1.28300e+00
  0.4467  1.26300e+00
  0.4571  1.22900e+00
  0.4677  1.19600e+00
  0.4685  1.19400e+00
  0.4700  1.18900e+00
  0.4786  1.16300e+00
  0.4861  1.14100e+00
  0.4898  1.13000e+00
  0.5012  1.09800e+00
  0.5129  1.06600e+00
  0.5248  1.03400e+00
  0.5370  1.00400e+00
  0.5470  9.79200e-01
  0.5495  9.73200e-01
  0.5550  9.60400e-01
  0.5623  9.43400e-01
  0.5754  9.14400e-01
  0.5888  8.85800e-01
  0.6026  8.58000e-01
  0.6165  8.31000e-01
  0.6166  8.30800e-01
  0.6310  8.04200e-01
  0.6415  7.85400e-01
  0.6457  7.78200e-01
  0.6492  7.72000e-01
  0.6562  7.60200e-01
  0.6607  7.52800e-01
  0.6761  7.28000e-01
  0.6918  7.04000e-01
  0.7079  6.80600e-01
  0.7244  6.57800e-01
  0.7413  6.35600e-01
  0.7480  6.27200e-01
  0.7586  6.14000e-01
  0.7762  5.93200e-01
  0.7943  5.72800e-01
  0.8020  5.64600e-01
  0.8128  5.53000e-01
  0.8318  5.33800e-01
  0.8511  5.15200e-01
  0.8655  5.02000e-01
  0.8710  4.97000e-01
  0.8913  4.79600e-01
  0.8930  4.78000e-01
  0.9120  4.62400e-01
  0.9333  4.45800e-01
  0.9550  4.29800e-01
  0.9772  4.14200e-01
  1.0000  3.99000e-01
  1.0230  3.84400e-01
  1.0470  3.70400e-01
  1.0720  3.57000e-01
  1.0960  3.44000e-01
  1.1220  3.31600e-01
  1.1480  3.19600e-01
  1.1750  3.08000e-01
  1.2020  2.97000e-01
  1.2200  2.90200e-01
  1.2300  2.86400e-01
  1.2590  2.76200e-01
  1.2820  2.68400e-01
  1.2880  2.66400e-01
  1.3180  2.56800e-01
  1.3490  2.47800e-01
  1.3800  2.39000e-01
  1.4130  2.30400e-01
  1.4450  2.22000e-01
  1.4790  2.14000e-01
  1.5140  2.06400e-01
  1.5490  1.98900e-01
  1.5850  1.91700e-01
  1.6220  1.84700e-01
  1.6300  1.83200e-01
  1.6600  1.77900e-01
  1.6980  1.71300e-01
  1.7380  1.64900e-01
  1.7780  1.58800e-01
  1.8200  1.52800e-01
  1.8620  1.47000e-01
  1.8750  1.45300e-01
  1.9050  1.41400e-01
  1.9500  1.36000e-01
  1.9950  1.30800e-01
  2.0420  1.25700e-01
  2.0890  1.20800e-01
  2.1220  1.17700e-01
  2.1380  1.16100e-01
  2.1660  1.13500e-01
  2.1880  1.11500e-01
  2.1900  1.11300e-01
  2.2390  1.07100e-01
  2.2910  1.02800e-01
  2.3440  9.86400e-02
  2.3990  9.46400e-02
  2.4400  9.41000e-02
  2.5400  8.91300e-02
  2.6400  8.48300e-02
  2.7400  8.09800e-02
  2.8400  7.75900e-02
  2.9400  7.45400e-02
  3.0400  7.17100e-02
  3.1400  6.93300e-02
  3.2400  6.70700e-02
  3.3400  6.50300e-02
  3.4400  6.31100e-02
  3.5400  6.15300e-02
  3.6400  5.99400e-02
  3.7400  5.84700e-02
  3.8400  5.72300e-02
  3.9400  5.61000e-02
  4.0400  5.49700e-02
  4.1400  5.39500e-02
  4.2400  5.30500e-02
  4.3400  5.21400e-02
  4.4400  5.13500e-02
  4.5400  5.05600e-02
  4.6400  4.98800e-02
  4.7400  4.93100e-02
  4.8400  4.87500e-02
  4.9400  4.81800e-02
  5.0400  4.76200e-02
  5.1400  4.71600e-02
  5.2400  4.67100e-02
  5.3400  4.63700e-02
  5.4400  4.59200e-02
  5.5400  4.55800e-02
  5.6400  4.52400e-02
  5.7400  4.50200e-02
  5.8400  4.46800e-02
  5.9400  4.44500e-02
  6.0400  4.42200e-02
  6.1400  4.40000e-02
  6.2400  4.37700e-02
  6.3400  4.36600e-02
  6.4400  4.34300e-02
  6.5400  4.33200e-02
  6.6400  4.32100e-02
  6.7400  4.30900e-02
  6.8400  4.29800e-02
  6.9400  4.28700e-02
  7.0400  4.27500e-02
  7.1400  4.27500e-02
  7.2400  4.26400e-02
  7.3400  4.25850e-02
  7.4400  4.25575e-02
  7.5400  4.25632e-02
  7.6400  4.25440e-02
  7.7400  4.25984e-02
  7.8400  4.26669e-02
  8.1280  4.53738e-02
  8.3180  4.75401e-02
  8.5110  5.85862e-02
  8.7100  6.54183e-02
  8.9130  7.43602e-02
  9.1200  9.73402e-02
  9.3330  1.07878e-01
  9.4000  1.08679e-01
  9.5500  1.14843e-01
  9.8000  1.20175e-01
  9.9000  1.22460e-01
 10.0000  1.25000e-01
 10.2300  1.22075e-01
 10.3600  1.20601e-01
 10.4700  1.15886e-01
 10.7200  1.10980e-01
 10.9600  9.90894e-02
 11.3000  8.19481e-02
 11.4800  7.63535e-02
 11.7500  6.97311e-02
 12.0200  6.40654e-02
 12.3000  5.67863e-02
 12.5900  4.70997e-02
 13.4900  4.53950e-02
 13.8000  4.60587e-02
 14.1300  4.48840e-02
 14.4500  4.43084e-02
 14.7900  4.42459e-02
 15.8500  5.07318e-02
 16.2200  5.41491e-02
 16.6000  5.35280e-02
 17.7800  5.50176e-02
 18.2000  5.54386e-02
 18.6200  5.40626e-02
 19.0500  5.28176e-02
 19.5000  5.03271e-02
 19.9500  4.82637e-02
 20.4200  4.56894e-02
 20.8900  4.39231e-02
 21.3800  4.22260e-02
 21.8800  4.17503e-02
 22.3900  4.26933e-02
 22.9100  4.29251e-02
 23.4400  4.18167e-02
 23.9900  3.99945e-02
 25.7000  3.28900e-02
 26.3000  3.20500e-02
 26.9200  3.12900e-02
 27.5400  3.06100e-02
 28.1800  2.99700e-02
 28.8400  2.93600e-02
 29.5100  2.87600e-02
 30.2000  2.81300e-02
 30.9000  2.74500e-02
 31.6200  2.67100e-02
 32.3600  2.59000e-02
 33.1100  2.50200e-02
 33.8800  2.40800e-02
 34.6700  2.31000e-02
 35.4800  2.20900e-02
 36.3100  2.10400e-02
 37.1500  2.00000e-02
 38.0200  1.89600e-02
 38.9000  1.79300e-02
 39.8100  1.69400e-02
 40.7400  1.59800e-02
 41.6900  1.50700e-02
 42.6600  1.42200e-02
 43.6500  1.34100e-02
 44.6700  1.26500e-02
 45.7100  1.19400e-02
 46.7700  1.12700e-02
 47.8600  1.06400e-02
 48.9800  1.00500e-02
 50.1200  9.50800e-03
