# wl(um)  tau
  5.0052  0.00000e+00
  5.0319  0.00000e+00
  5.0586  0.00000e+00
  5.0853  0.00000e+00
  5.1119  0.00000e+00
  5.1386  0.00000e+00
  5.1653  0.00000e+00
  5.1920  0.00000e+00
  5.2187  0.00000e+00
  5.2454  0.00000e+00
  5.2721  0.00000e+00
  5.2988  0.00000e+00
  5.3255  0.00000e+00
  5.3522  0.00000e+00
  5.3789  0.00000e+00
  5.4056  0.00000e+00
  5.4323  0.00000e+00
  5.4590  0.00000e+00
  5.4856  0.00000e+00
  5.5123  0.00000e+00
  5.5390  0.00000e+00
  5.5623  0.00000e+00
  5.5924  0.00000e+00
  5.6191  0.00000e+00
  5.6724  0.00000e+00
  5.6725  1.94893e-02
  5.6992  4.28126e-02
  5.7259  1.12203e-01
  5.7526  1.87425e-01
  5.7793  2.63434e-01
  5.8060  3.31364e-01
  5.8326  3.69557e-01
  5.8593  4.03680e-01
  5.8860  4.33803e-01
  5.9127  4.42290e-01
  5.9394  4.49889e-01
  5.9661  4.54617e-01
  5.9928  4.64299e-01
  6.0195  4.99881e-01
  6.0462  5.40082e-01
  6.0729  5.44516e-01
  6.0996  5.21894e-01
  6.1262  5.20378e-01
  6.1529  5.35929e-01
  6.1796  5.41488e-01
  6.2063  5.20432e-01
  6.2330  4.73487e-01
  6.2597  4.31916e-01
  6.2864  4.32955e-01
  6.3131  4.43805e-01
  6.3398  4.35416e-01
  6.3665  4.28908e-01
  6.3932  4.23529e-01
  6.4199  4.18935e-01
  6.4465  4.19724e-01
  6.4732  4.18910e-01
  6.4999  3.95290e-01
  6.5266  3.74391e-01
  6.5533  3.65617e-01
  6.5800  3.54949e-01
  6.6067  3.43041e-01
  6.6334  3.33548e-01
  6.6601  3.27783e-01
  6.7135  3.60195e-01
  6.7669  5.56910e-01
  6.8202  8.90428e-01
  6.8736  1.00006e+00
  6.9270  7.82130e-01
  6.9804  5.03324e-01
  7.0338  3.49535e-01
  7.0872  3.06462e-01
  7.1405  3.09345e-01
  7.1939  3.84486e-01
  7.2473  5.07092e-01
  7.3007  4.58197e-01
  7.3541  2.90727e-01
  7.4075  1.77606e-01
  7.4608  1.20223e-01
  7.5142  8.73070e-02
  7.5676  6.21429e-02
  7.6210  4.46785e-02
  7.6744  3.58197e-02
  7.7278  2.11221e-02
  7.7279  0.00000e+00
  7.8345  0.00000e+00
  7.8879  0.00000e+00
  7.9413  0.00000e+00
  7.9947  0.00000e+00
  8.0481  0.00000e+00
  8.1014  0.00000e+00
  8.1548  0.00000e+00
  8.2082  0.00000e+00
  8.2616  0.00000e+00
  8.3150  0.00000e+00
  8.3684  0.00000e+00
  8.4218  0.00000e+00
  8.4751  0.00000e+00
  8.5285  0.00000e+00
  8.5819  0.00000e+00
  8.6353  0.00000e+00
  8.6887  0.00000e+00
  8.7421  0.00000e+00
  8.7954  0.00000e+00
  8.8328  0.00000e+00
  8.8396  0.00000e+00
  8.8464  0.00000e+00
  8.8532  0.00000e+00
  8.8600  0.00000e+00
  8.8668  0.00000e+00
  8.8736  0.00000e+00
  8.8805  0.00000e+00
  8.8873  0.00000e+00
  8.8941  0.00000e+00
  8.9010  0.00000e+00
  8.9078  0.00000e+00
  8.9147  0.00000e+00
  8.9215  0.00000e+00
  8.9284  0.00000e+00
  8.9353  0.00000e+00
  8.9422  0.00000e+00
  8.9490  0.00000e+00
  8.9559  0.00000e+00
  8.9628  0.00000e+00
  8.9697  0.00000e+00
