\ Created 2021 May 30 by Nadia Zakamska 
\ Wavelengths are assumed to be in vacuum! 
\ Data Source 1: JWST H_2 lines between 1 and 2.5 microns from this link: 
\ https://github.com/spacetelescope/jdaviz/tree/main/jdaviz/data/linelists 
\ H2_alt.csv file; one typo corrected (the line marked as 2-9 Q(1) replaced with 2-0 Q(1)) 
\ Data Source 2: ISO H_2 lines from 2.5 microns onwards from this link: 
\ https://www.mpe.mpg.de/ir/ISO/linelists, file H2.html 
\ The original precision for wavelength is maintained. 
|                    name|          lines|                linelab|
|                    char|          float|                   char|
|                        |         micron|                       |
|                    null|           null|                   null|
                 H2_20_S5          1.0851     H$_2$(2-0) S(5) 
                 H2_20_S4          1.0998     H$_2$(2-0) S(4) 
                 H2_20_S3          1.1175     H$_2$(2-0) S(3) 
                 H2_20_S2          1.1382     H$_2$(2-0) S(2) 
                 H2_20_S1          1.1622     H$_2$(2-0) S(1) 
                 H2_20_S0          1.2383     H$_2$(2-0) S(0) 
                 H2_20_Q1          1.2383     H$_2$(2-0) Q(1) 
                 H2_20_Q2          1.2419     H$_2$(2-0) Q(2) 
                 H2_20_Q3          1.2473     H$_2$(2-0) Q(3) 
                 H2_20_Q4          1.2545     H$_2$(2-0) Q(4) 
                 H2_20_Q5          1.2636     H$_2$(2-0) Q(5) 
                 H2_20_O2          1.2932     H$_2$(2-0) O(2) 
                 H2_20_O3          1.3354     H$_2$(2-0) O(3) 
                 H2_20_O4          1.3817     H$_2$(2-0) O(4) 
                 H2_20_O5          1.4322     H$_2$(2-0) O(5) 
                H2_10_S11          1.6504    H$_2$(1-0) S(11) 
                H2_10_S10          1.6665    H$_2$(1-0) S(10) 
                 H2_10_S9          1.6877     H$_2$(1-0) S(9) 
                 H2_10_S8          1.7147     H$_2$(1-0) S(8) 
                 H2_10_S7          1.7480     H$_2$(1-0) S(7) 
                 H2_10_S6          1.7880     H$_2$(1-0) S(6) 
                 H2_10_S5          1.8358     H$_2$(1-0) S(5) 
                 H2_10_S4          1.8920     H$_2$(1-0) S(4) 
                 H2_10_S3          1.9576     H$_2$(1-0) S(3) 
                 H2_32_S7          1.9692     H$_2$(3-2) S(7) 
                 H2_32_S6          2.0130     H$_2$(3-2) S(6) 
                 H2_10_S2          2.0338     H$_2$(1-0) S(2) 
                 H2_32_S5          2.0656     H$_2$(3-2) S(5) 
                 H2_10_S1          2.1218     H$_2$(1-0) S(1) 
                 H2_32_S4          2.1280     H$_2$(3-2) S(4) 
                 H2_43_S5          2.2010     H$_2$(4-3) S(5) 
                 H2_32_S3          2.2014     H$_2$(3-2) S(3) 
                 H2_10_S0          2.2235     H$_2$(1-0) S(0) 
                 H2_54_S7          2.2510     H$_2$(5-4) S(7) 
                 H2_43_S4          2.2668     H$_2$(4-3) S(4) 
                 H2_32_S2          2.2870     H$_2$(3-2) S(2) 
                 H2_43_S3          2.3446     H$_2$(4-3) S(3) 
                 H2_54_S5          2.3555     H$_2$(5-4) S(5) 
                 H2_32_S1          2.3864     H$_2$(3-2) S(1) 
                 H2_10_Q1          2.4066     H$_2$(1-0) Q(1) 
                 H2_10_Q2          2.4134     H$_2$(1-0) Q(2) 
                 H2_10_Q3          2.4237     H$_2$(1-0) Q(3) 
                 H2_10_Q4          2.4375     H$_2$(1-0) Q(4) 
                 H2_10_Q5          2.4548     H$_2$(1-0) Q(5) 
                 H2_10_Q6          2.4756     H$_2$(1-0) Q(6) 
                 H2_10_Q7         2.49995     H$_2$(1-0) Q(7) 
                 H2_10_Q7          2.5001     H$_2$(1-0) Q(7) 
                 H2_32_S0          2.5014     H$_2$(3-2) S(0) 
                 H2_32_S0         2.50148     H$_2$(3-2) S(0) 
                H2_119_S1         2.50192    H$_2$(11-9) S(1) 
                 H2_54_S3         2.50704     H$_2$(5-4) S(3) 
                H2_53_O13         2.50961    H$_2$(5-3) O(13) 
                H2_31_O16         2.51116    H$_2$(3-1) O(16) 
                 H2_10_Q8         2.52802     H$_2$(1-0) Q(8) 
                H2_108_O3         2.53161    H$_2$(10-8) O(3) 
                 H2_65_S5         2.53551     H$_2$(6-5) S(5) 
                H2_108_Q7         2.53911    H$_2$(10-8) Q(7) 
                 H2_43_S1         2.54151     H$_2$(4-3) S(1) 
                H2_119_S8         2.54273    H$_2$(11-9) S(8) 
                 H2_86_O8         2.54404     H$_2$(8-6) O(8) 
               H2_1310_Q4         2.55023   H$_2$(13-10) Q(4) 
                 H2_21_Q1         2.55099     H$_2$(2-1) Q(1) 
                H2_119_S0         2.55487    H$_2$(11-9) S(0) 
                H2_75_O10         2.55672    H$_2$(7-5) O(10) 
                 H2_21_Q2         2.55851     H$_2$(2-1) Q(2) 
                 H2_10_Q9         2.55985     H$_2$(1-0) Q(9) 
                H2_96_O16         2.56245    H$_2$(9-6) O(16) 
                H2_86_Q15         2.56426    H$_2$(8-6) Q(15) 
                 H2_97_O6         2.56613     H$_2$(9-7) O(6) 
                 H2_21_Q3         2.56983     H$_2$(2-1) Q(3) 
                H2_76_S10         2.57234    H$_2$(7-6) S(10) 
                H2_76_S11         2.57251    H$_2$(7-6) S(11) 
               H2_1310_O3         2.57378   H$_2$(13-10) O(3) 
                H2_42_O15         2.57532    H$_2$(4-2) O(15) 
                 H2_76_S9         2.58376     H$_2$(7-6) S(9) 
                H2_76_S12         2.58457    H$_2$(7-6) S(12) 
                 H2_21_Q4         2.58496     H$_2$(2-1) Q(4) 
                H2_64_O12         2.59357    H$_2$(6-4) O(12) 
                H2_10_Q10         2.59551    H$_2$(1-0) Q(10) 
               H2_118_O11         2.59609   H$_2$(11-8) O(11) 
                H2_97_Q12         2.59725    H$_2$(9-7) Q(12) 
                 H2_21_Q5         2.60397     H$_2$(2-1) Q(5) 
                 H2_54_S2         2.60398     H$_2$(5-4) S(2) 
                 H2_76_S8         2.60682     H$_2$(7-6) S(8) 
                 H2_65_S4         2.60835     H$_2$(6-5) S(4) 
                H2_76_S13         2.60941    H$_2$(7-6) S(13) 
                H2_108_Q8         2.61210    H$_2$(10-8) Q(8) 
                 H2_10_O2         2.62688     H$_2$(1-0) O(2) 
                 H2_21_Q6         2.62690     H$_2$(2-1) Q(6) 
                H2_119_S9         2.62730    H$_2$(11-9) S(9) 
                H2_129_O8         2.63303    H$_2$(12-9) O(8) 
                H2_10_Q11         2.63512    H$_2$(1-0) Q(11) 
                H2_108_O4         2.64089    H$_2$(10-8) O(4) 
                 H2_76_S7         2.64192     H$_2$(7-6) S(7) 
               H2_1310_Q5         2.64755   H$_2$(13-10) Q(5) 
                H2_53_O14         2.65022    H$_2$(5-3) O(14) 
                H2_31_O17         2.65196    H$_2$(3-1) O(17) 
                 H2_21_Q7         2.65383     H$_2$(2-1) Q(7) 
               H2_107_O14         2.65525   H$_2$(10-7) O(14) 
                 H2_43_S0         2.66434     H$_2$(4-3) S(0) 
               H2_129_Q10         2.66747   H$_2$(12-9) Q(10) 
                H2_119_Q1         2.66795    H$_2$(11-9) Q(1) 
                H2_10_Q12         2.67877    H$_2$(1-0) Q(12) 
                 H2_86_O9         2.68134     H$_2$(8-6) O(9) 
                 H2_21_Q8         2.68486     H$_2$(2-1) Q(8) 
               H2_1310_O4         2.68761   H$_2$(13-10) O(4) 
                H2_119_Q2         2.68930    H$_2$(11-9) Q(2) 
                 H2_65_S3         2.69569     H$_2$(6-5) S(3) 
                 H2_97_O7         2.69772     H$_2$(9-7) O(7) 
                H2_75_O11         2.69963    H$_2$(7-5) O(11) 
                H2_108_Q9         2.70016    H$_2$(10-8) Q(9) 
                 H2_32_Q1         2.71030     H$_2$(3-2) Q(1) 
                H2_97_Q13         2.71641    H$_2$(9-7) Q(13) 
                 H2_54_S1         2.71727     H$_2$(5-4) S(1) 
                 H2_32_Q2         2.71866     H$_2$(3-2) Q(2) 
                 H2_21_Q9         2.72010     H$_2$(2-1) Q(9) 
                H2_119_Q3         2.72206    H$_2$(11-9) Q(3) 
                H2_42_O16         2.72257    H$_2$(4-2) O(16) 
                H2_10_Q13         2.72661    H$_2$(1-0) Q(13) 
                 H2_32_Q3         2.73124     H$_2$(3-2) Q(3) 
                H2_64_O13         2.74176    H$_2$(6-4) O(13) 
               H2_119_S10         2.74718   H$_2$(11-9) S(10) 
                 H2_32_Q4         2.74808     H$_2$(3-2) Q(4) 
                 H2_76_S5         2.75120     H$_2$(7-6) S(5) 
                H2_21_Q10         2.75967    H$_2$(2-1) Q(10) 
                H2_108_O5         2.76601    H$_2$(10-8) O(5) 
                H2_119_Q4         2.76719    H$_2$(11-9) Q(4) 
