\ Created 2021 June 2 by Nadia Zakamska 
\ Wavelengths are assumed to be in vacuum! 
\ Data Source 1: ISO list of fine structure lines at 2-205 micron 
\ https://www.mpe.mpg.de/ir/ISO/linelists/FSlines.html 
|                    name|          lines|              linelab|
|                    char|          float|                 char|
|                        |         micron|                     |
|                    null|           null|                 null|
               [SiVI]1.96        1.963410           [SiVI] 1.96 
              [SiVII]2.48        2.483340          [SiVII] 2.48 
               [SiIX]2.58        2.584230           [SiIX] 2.58 
                [AlV]2.91        2.905190            [AlV] 2.91 
               [CoII]2.98        2.984600           [CoII] 2.98 
             [MgVIII]3.03        3.027950         [MgVIII] 3.03 
                [NiI]3.12        3.120000            [NiI] 3.12 
               [KVII]3.19        3.190530           [KVII] 3.19 
               [CaIV]3.21        3.206710           [CaIV] 3.21 
               [AlVI]3.66        3.659710           [AlVI] 3.66 
             [AlVIII]3.69        3.690000         [AlVIII] 3.69 
               [SiIX]3.94        3.935700           [SiIX] 3.94 
                [NiI]3.95        3.952400            [NiI] 3.95 
               [FeII]4.08        4.076319           [FeII] 4.08 
               [FeII]4.08        4.081906           [FeII] 4.08 
              [CaVII]4.09        4.085800          [CaVII] 4.09 
               [FeII]4.11        4.114990           [FeII] 4.11 
                [CaV]4.16        4.159370            [CaV] 4.16 
               [FeII]4.43        4.434839           [FeII] 4.43 
               [MgIV]4.49        4.486680           [MgIV] 4.49 
               [ArVI]4.53        4.529520           [ArVI] 4.53 
               [FeII]4.61        4.607664           [FeII] 4.61 
               [KIII]4.62        4.618020           [KIII] 4.62 
               [FeII]4.67        4.671945           [FeII] 4.67 
              [NaVII]4.68        4.684720          [NaVII] 4.68 
               [FeII]4.89        4.889137           [FeII] 4.89 
               [FeII]5.06        5.062350           [FeII] 5.06 
               [FeII]5.34        5.340169           [FeII] 5.34 
              [MgVII]5.50        5.503200          [MgVII] 5.50 
                [KVI]5.58        5.575000            [KVI] 5.58 
                [MgV]5.61        5.609850            [MgV] 5.61 
               [FeII]5.67        5.673905           [FeII] 5.67 
             [AlVIII]5.85        5.850000         [AlVIII] 5.85 
                [NiI]5.89        5.893300            [NiI] 5.89 
                [KIV]5.98        5.982000            [KIV] 5.98 
              [CaVII]6.15        6.154000          [CaVII] 6.15 
              [SiVII]6.49        6.492200          [SiVII] 6.49 
               [NiII]6.64        6.636000           [NiII] 6.64 
                [ClV]6.71        6.706670            [ClV] 6.71 
               [FeII]6.72        6.721283           [FeII] 6.72 
               [ArII]6.99        6.985274           [ArII] 6.99 
              [NaIII]7.32        7.317700          [NaIII] 7.32 
                [NiI]7.51        7.506700            [NiI] 7.51 
               [NeVI]7.65        7.652400           [NeVI] 7.65 
              [FeVII]7.81        7.814500          [FeVII] 7.81 
                [ArV]7.90        7.901600            [ArV] 7.90 
               [NaVI]8.61        8.610590           [NaVI] 8.61 
                [KVI]8.83        8.829900            [KVI] 8.83 
              [ArIII]8.99        8.991380          [ArIII] 8.99 
              [MgVII]9.01        9.009000          [MgVII] 9.01 
               [NaIV]9.04        9.041000           [NaIV] 9.04 
               [AlVI]9.12        9.116000           [AlVI] 9.12 
              [FeVII]9.53        9.526700          [FeVII] 9.53 
               [SIV]10.51       10.510500           [SIV] 10.51 
              [CoII]10.52       10.521000          [CoII] 10.52 
              [NiII]10.68       10.682200          [NiII] 10.68 
